Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
How many ecological regions (Thinai) were classified in Sangam literature?,Five,Four,Three,Six,Five
Which Thinai was associated with mountainous regions?,Kurinji,Mullai,Marutham,Neithal,Kurinji
Which Thinai was associated with forests and pastoral life?,Mullai,Kurinji,Marutham,Palai,Mullai
Which Thinai represented fertile agricultural lands?,Marutham,Neithal,Kurinji,Palai,Marutham
Which Thinai represented coastal regions?,Neithal,Mullai,Marutham,Kurinji,Neithal
Which Thinai represented arid and desert-like regions?,Palai,Kurinji,Mullai,Neithal,Palai
Which deity presided over the Kurinji region?,Seyon (Murugan),Varunan,Indiran,Maayon,Seyon (Murugan)
Which deity presided over the Mullai region?,Maayon (Vishnu),Murugan,Varunan,Kotravai,Maayon (Vishnu)
Which deity presided over the Marutham region?,Indiran,Varunan,Maayon,Murugan,Indiran
Which deity presided over the Neithal region?,Varunan,Indiran,Murugan,Kotravai,Varunan
Which deity presided over the Palai region?,Kotravai,Varunan,Murugan,Maayon,Kotravai
What was the chief occupation of people in Kurinji region?,Hunting,Agriculture,Fishing,Weaving,Hunting
What was the chief occupation of people in Mullai region?,Cattle herding,Fishing,Hunting,Trade,Cattle herding
What was the chief occupation of people in Marutham region?,Agriculture,Hunting,Fishing,Pastoralism,Agriculture
What was the chief occupation of people in Neithal region?,Fishing,Agriculture,Hunting,Cattle rearing,Fishing
What was the chief occupation of people in Palai region?,Raiding and warfare,Fishing,Farming,Weaving,Raiding and warfare
Which Thinai was called Menpulam (fertile land)?,Marutham,Kurinji,Palai,Neithal,Marutham
Which Thinai regions together were called Vanpulam?,Kurinji Mullai and Palai,Only Marutham,Only Neithal,Marutham and Neithal,Kurinji Mullai and Palai
Which crops were mainly cultivated in Marutham lands?,Paddy and sugarcane,Pepper and spices,Millets and pulses,Cotton and tea,Paddy and sugarcane
Which occupation was common among women during the Sangam Age?,Weaving,Horse training,Warfare,Shipbuilding,Weaving
Which system of trade was common in Sangam society?,Barter system,Credit system,Digital trade,Paper currency,Barter system
What was the land tax in Sangam administration called?,Irai,Sungam,Vari,Kadamai,Irai
What does the term Sungam refer to?,Customs duty,Land grant,Royal order,War tax,Customs duty
Where were warehouses generally constructed in Sangam ports?,Along the coast,On hills,Inside forests,Near temples,Along the coast
Which imported animal was important in Sangam trade?,Horse,Elephant,Camel,Yak,Horse
Which item was a major export of ancient Tamilakam?,Pepper,Tea,Coffee,Coal,Pepper
Which Pandyan port was famous for pearl fishing?,Korkai,Puhar,Muziris,Tondi,Korkai
Which Chera port was famous for spice trade?,Muziris,Korkai,Puhar,Uraiyur,Muziris
Which Chola port became a major maritime center?,Puhar,Korkai,Muziris,Vanchi,Puhar
What was the morning market in Madurai called?,Nalangadi,Allangadi,Avai,Mandram,Nalangadi
What was the evening market in Madurai called?,Allangadi,Nalangadi,Sungam,Naalavai,Allangadi
What does Pattinam refer to in Sangam literature?,Coastal town,Hill village,Forest region,Fortified camp,Coastal town
What does Puhar generally refer to?,Harbour town,Temple town,Hill fort,Agricultural village,Harbour town
Who were the Panar in Sangam society?,Bards and singers,Farmers,Soldiers,Priests,Bards and singers
Who were the Viraliyar?,Women dancers and singers,Queens,Warriors,Merchants,Women dancers and singers
Which musical instrument was popular during the Sangam Age?,Yazh,Sitar,Tabla,Flute,Yazh
What was the threefold Tamil concept called?,Muthamizh,Pathupattu,Ettuthogai,Thinai,Muthamizh
Which art form was common among Sangam people?,Koothu,Kathakali,Bharatanatyam,Karagattam,Koothu
What were Natukkal or Veerakkal used for?,Commemorating heroes,Boundary marking,Temple worship,Water storage,Commemorating heroes
What was considered the highest virtue of women?,Karpu (Chastity),Wealth,Education,Power,Karpu (Chastity)
How many women poets are mentioned in Sangam literature?,Forty,Ten,Five,Seventy,Forty
Who was a famous woman poet of the Sangam Age?,Avvaiyar,Kannagi,Madhavi,Manimegalai,Avvaiyar
What was the primary occupation in Neithal region besides fishing?,Salt making,Hunting,Weaving,Carpentry,Salt making
Which social group acted as village chiefs?,Kizhar,Panar,Viraliyar,Velir,Kizhar
Who were the Velirs?,Independent chieftains,Priests,Foreign traders,Poets,Independent chieftains
How many great patrons were called Kadaiyezhu Vallalgal?,Seven,Three,Five,Twelve,Seven
Which among the following was one of the Kadaiyezhu Vallalgal?,Pari,Karikalan,Nedunchezhiyan,Senguttuvan,Pari
Which among the following was one of the seven patrons?,Adiyaman,Perunarkilli,Kocengannan,Mudukudumi,Adiyaman
What type of economy existed in Sangam Age?,Agrarian and trade-based,Industrial,Feudal,Machine-based,Agrarian and trade-based
Which foreign traders had close contact with Tamilakam?,Romans,Japanese,Russians,Mongols,Romans
Which sea route connected Tamilakam with Rome?,Indian Ocean route,Pacific route,Arctic route,Mediterranean land route,Indian Ocean route
What was exported from Tamilakam to Rome?,Pepper and pearls,Coal and iron,Tea and coffee,Silk and jade,Pepper and pearls
What was imported into Tamilakam from foreign countries?,Gold and horses,Rice and sugar,Tea and cotton,Coal and silver,Gold and horses
Which Roman emperor had a temple at Muziris?,Augustus,Nero,Trajan,Constantine,Augustus
Which Egyptian Pharaoh's mummy contained black pepper from Tamilakam?,Ramses II,Tutankhamun,Akhenaten,Khufu,Ramses II
Which occupation was associated with Mullai region?,Pastoralism,Fishing,Hunting,Trade,Pastoralism
Which region was associated with heroic warfare and raids?,Palai,Neithal,Marutham,Mullai,Palai
Which crop was associated with fertile Marutham lands?,Paddy,Pepper,Millets,Tea,Paddy
Which class of people entertained kings through music?,Panar,Velir,Kizhar,Uzhavar,Panar
What were clothes thinner than snake skin called?,Kalingam,Muslin,Yazh,Silambu,Kalingam
Which occupation was often practiced part-time by farmers?,Weaving,Shipbuilding,Trading,Hunting,Weaving
Which material was commonly used for ornaments?,Gold silver and pearls,Plastic and iron,Wood only,Clay only,Gold silver and pearls
What did children commonly play with in Sangam Age?,Toy carts and sand houses,Video games,Bows and guns,Metal robots,Toy carts and sand houses
Which festival was celebrated grandly in cities?,Indira Vizha,Pongal,Deepavali,Holi,Indira Vizha
What were lighthouses called in Sangam ports?,Kalangaraivilakku,Mandram,Sungam,Puhar,Kalangaraivilakku
Which region was associated with lovers' union in Sangam poems?,Kurinji,Palai,Neithal,Marutham,Kurinji
Which region symbolized patient waiting in Sangam poetry?,Mullai,Kurinji,Palai,Neithal,Mullai
Which region symbolized domestic life and quarrels?,Marutham,Palai,Kurinji,Neithal,Marutham
Which region symbolized separation and hardship?,Palai,Mullai,Kurinji,Marutham,Palai
Which region symbolized longing due to seashore separation?,Neithal,Kurinji,Marutham,Palai,Neithal
Which social custom honored fallen soldiers?,Erecting hero stones,Temple festivals,Sea burials,Royal marriage,Erecting hero stones
Which type of food was common in Marutham region?,Rice,Fish,Meat only,Dates,Rice
Which profession was linked with Kanigaiyar?,Dancing,Soldiering,Farming,Blacksmithing,Dancing
Which people lived mainly in Kurinji region?,Hunters,Fishermen,Farmers,Merchants,Hunters
Which people lived mainly in Neithal region?,Fisherfolk,Pastoralists,Hunters,Weavers,Fisherfolk
Which people lived mainly in Mullai region?,Cowherds,Fisherfolk,Warriors,Merchants,Cowherds
Which region was best suited for agriculture?,Marutham,Kurinji,Palai,Neithal,Marutham
Which important spice was exported from Tamilakam?,Pepper,Cardamom,Tea,Coffee,Pepper
Which trade center was famous for pearl trade?,Korkai,Uraiyur,Vanchi,Kanchi,Korkai
Which trade center was famous for overseas commerce?,Puhar,Madurai,Karur,Kanchi,Puhar
Which class of people composed and sang poems in royal courts?,Panar,Velir,Kizhar,Uzhavar,Panar
