Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Intellectual Awakening: Which century BC is known for the Intellectual Awakening in India?,8th Century BC,6th Century BC,4th Century BC,2nd Century BC,6th Century BC
Intellectual Awakening: Who called the 6th Century BC the “shower of stars”?,Megasthenes,Will Durant,Fa-Hien,Hieun Tsang,Will Durant
Sources: Which Jain texts are considered primary sources?,Tripitakas,Angas,Vedas,Jatakas,Angas
Sources: Which Buddhist texts are considered important sources?,Agamas only,Tripitakas and Jatakas,Puranas only,Sutras only,Tripitakas and Jatakas
Causes for Rise: Which factor led to the rise of Jainism and Buddhism?,Simple rituals,Complex Vedic rituals and sacrifices,Foreign invasions,Industrialization,Complex Vedic rituals and sacrifices
Causes for Rise: Which social issue caused unrest during the Later Vedic Age?,Democracy,Slavery and caste system,Urbanisation,Trade growth,Slavery and caste system
Jainism: Which ancient religion follows the teachings of 24 Tirthankaras?,Buddhism,Jainism,Shaivism,Vaishnavism,Jainism
Jainism: Who was the first Tirthankara of Jainism?,Parshvanatha,Rishabha,Mahavira,Gautama,Rishabha
Jainism: Who was the 24th Tirthankara of Jainism?,Rishabha,Parshvanatha,Mahavira,Bahubali,Mahavira
Jainism: The word “Jain” is derived from which Sanskrit word?,Dharma,Jina,Sangha,Nirvana,Jina
Jainism: What does the word “Jina” mean?,Teacher,Conquering self and the external world,Monk,Warrior,Conquering self and the external world
Jainism: Who reorganized and spread Jainism?,Rishabha,Mahavira,Parshvanatha,Gautama Swami,Mahavira
Mahavira: What was the original name of Mahavira?,Siddhartha,Vardhamana,Rishabha,Parshva,Vardhamana
Mahavira: What does the name Vardhamana mean?,Wise,Prosperous,Peaceful,Victorious,Prosperous
Mahavira: Where was Mahavira born?,Lumbini,Kundhagrama near Vaishali,Sarnath,Pataliputra,Kundhagrama near Vaishali
Mahavira: Who were the parents of Mahavira?,Suddhodana and Maya Devi,Siddharth and Trishala,Bimbisara and Gautami,Ashoka and Subhadrangi,Siddharth and Trishala
Mahavira: At what age did Mahavira renounce worldly life?,25,30,35,40,30
Mahavira: How many years of penance did Mahavira undergo?,6 years,10 years,12.5 years,20 years,12.5 years
Mahavira: What supreme knowledge did Mahavira attain?,Nirvana,Kevala,Moksha,Dhamma,Kevala
Mahavira: Where did Mahavira attain death?,Rajagriha,Pavapuri,Kashi,Sarnath,Pavapuri
Jain Philosophy: What is the basic philosophy of Jainism?,Violence,Ahimsa,Idol worship,Sacrifice,Ahimsa
Jain Philosophy: What is the ultimate aim in Jainism?,Trade,Nirvana,Moksha,Political power,Moksha
Jain Philosophy: According to Jainism what determines future births?,Fate,Karma,God’s will,Kings,Karma
Jain Philosophy: What are the Three Jewels of Jainism called?,Tripitaka,Tri-rathnas,Panchasheel,Varnas,Tri-rathnas
Jain Philosophy: Which is NOT one of the Three Jewels?,Right Faith,Right Knowledge,Right Action,Right Sacrifice,Right Sacrifice
Jain Principles: Which Jain principle means non-violence?,Satya,Ahimsa,Asteya,Aparigraha,Ahimsa
Jain Principles: Which Jain principle means speaking the truth?,Ahimsa,Satya,Asteya,Brahmacharya,Satya
Jain Principles: Which Jain principle means non-stealing?,Asteya,Aparigraha,Satya,Ahimsa,Asteya
Jain Principles: Which Jain principle means non-possession?,Ahimsa,Satya,Aparigraha,Brahmacharya,Aparigraha
Jain Principles: Which Jain principle means celibacy?,Satya,Asteya,Aparigraha,Brahmacharya,Brahmacharya
Jain Literature: Who compiled Mahavira’s teachings into Agama Sidhantha?,Ashoka,Gautama Swami,Nagarjuna,Dharmapala,Gautama Swami
Jain Sects: What does Digambara mean?,White-clad,Sky-clad,Forest dweller,Monk,Sky-clad
Jain Sects: What does Svetambara mean?,White-clad,Sky-clad,Naked monk,Silent monk,White-clad
Jain Sects: Which Jain sect believed monks should live naked?,Svetambara,Digambara,Mahayana,Hinayana,Digambara
Jain Sects: Which Jain sect allowed monks to wear white robes?,Digambara,Svetambara,Ajivika,Theravada,Svetambara
Jain Sects: Which Jain sect believed women could not attain Nirvana directly?,Svetambara,Digambara,Buddhists,Ajivikas,Digambara
Jainism in Tamil Nadu: What is Jainism called in ancient Tamil literature?,Saivam,Samanam,Vainavam,Dhamma,Samanam
Jainism in Tamil Nadu: Where is Samanar Malai located?,Kanchipuram,Keelakuyilkudi near Madurai,Nagapattinam,Vellore,Keelakuyilkudi near Madurai
Jainism in Tamil Nadu: What is found in Samanar Malai?,Ashokan edicts,Tirthankara images,Roman coins,Buddhist stupas,Tirthankara images
Jainism in Tamil Nadu: What are Pandavar Padukkai?,Buddhist stupas,Jain caves and stone beds,Temple towers,Royal palaces,Jain caves and stone beds
Jainism in Tamil Nadu: Where are Pandavar Padukkai found?,Arittapatti near Madurai,Thanjavur,Kanyakumari,Erode,Arittapatti near Madurai
Jainism in Tamil Nadu: Which Tamil epic mentions Aravor Palli?,Silappathikaram,Manimegalai,Civaka Chintamani,Tolkappiyam,Manimegalai
Jainism in Tamil Nadu: Which Tamil epic mentions Gownthiyadigal?,Manimegalai,Silappathikaram,Tirukkural,Purananuru,Silappathikaram
Jainism in Tamil Nadu: Who was Gownthiyadigal?,A queen,A female Jain monk,A Buddhist nun,A poet,A female Jain monk
Jainism in Tamil Nadu: Which village was once called Jina Kanchi?,Madurai,Thiruparthikundram,Uraiyur,Korkai,Thiruparthikundram
Jainism in Tamil Nadu: In which district is Jina Kanchi located?,Madurai,Kanchipuram,Tirunelveli,Erode,Kanchipuram
Buddha: What was the original name of Buddha?,Mahavira,Siddhartha,Nagarjuna,Asanga,Siddhartha
Buddha: To which clan did Buddha belong?,Maurya,Sakya,Gupta,Chera,Sakya
