Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Indus Valley Civilization is also known as,Harappan Civilization,Mauryan Civilization,Gupta Civilization,Dravidian Civilization,Harappan Civilization
The Indus Valley Civilization flourished mainly along which river system?,Indus River system,Ganges River system,Yamuna River system,Brahmaputra River system,Indus River system
Which was the first discovered site of Indus Civilization?,Harappa,Mohenjo-Daro,Lothal,Dholavira,Harappa
Mohenjo-Daro means,City of the Dead,Great Bath City,Harbour City,Flooded City,City of the Dead
Harappa is located in present-day,Pakistan,India,Iran,Afghanistan,Pakistan
Mohenjo-Daro is located in present-day,Pakistan,India,Iran,Nepal,Pakistan
The Indus Civilization was first discovered in which century?,20th century,19th century,18th century,21st century,20th century
Which site is famous for advanced drainage system?,Mohenjo-Daro,Kalibangan,Rakhigarhi,All of the above,All of the above
Which is the largest Indus Valley site?,Rakhigarhi,Harappa,Mohenjo-Daro,Lothal,Rakhigarhi
Which Indus site is in Gujarat?,Dholavira,Harappa,Rakhigarhi,Mohenjo-Daro,Dholavira
Dholavira is located in which state?,Gujarat,Rajasthan,Punjab,Haryana,Gujarat
Which Indus site shows advanced water conservation system?,Dholavira,Harappa,Mohenjo-Daro,Lothal,Dholavira
Which material was commonly used in Indus seals?,Steatite,Gold,Iron,Wood,Steatite
Indus seals were mainly used for,Trade identification,Religious rituals,War symbols,Tax collection,Trade identification
The script of Indus Valley is,Undeciphered,Brahmi,Devanagari,Tamil,Undeciphered
Indus script is written in which direction?,Right to left,Left to right,Top to bottom,Random,Right to left
Which animal is most commonly depicted in Indus seals?,Unicorn Bull,Tiger,Elephant,Lion,Unicorn Bull
Which animal was NOT known to Indus people?,Horse,Dog,Bull,Elephant,Horse
Indus people worshipped mainly,Mother Goddess,Shiva Vishnu,Sun God,Fire God,Mother Goddess
Which Indus figure is known as Dancing Girl?,Bronze statuette,Gold idol,Stone statue,Clay model,Bronze statuette
Priest King statue was found at,Mohenjo-Daro,Harappa,Lothal,Kalibangan,Mohenjo-Daro
Indus Civilization belongs to which age?,Bronze Age,Iron Age,Stone Age,Modern Age,Bronze Age
Main occupation of Indus people was,Agriculture and trade,Warfare,Mining,Hunting,Agriculture and trade
Indus people used which system of weights?,Standardized binary weights,Random weights,Stone weights only,No system,Standardized binary weights
Which metal was widely used in Indus Civilization?,Copper,Bronze,Iron,Aluminium,Copper
Which metal was NOT known to Indus people?,Iron,Copper,Gold,Silver,Iron
Indus houses were made of,Baked bricks,Wood,Stone,Ice,Baked bricks
Indus bricks followed standard ratio,1:2:4,1:3:5,2:2:2,1:1:1,1:2:4
Indus cities were planned in which pattern?,Grid pattern,Circular pattern,Radial pattern,Random pattern,Grid pattern
Which structure is considered earliest public bath?,Great Bath,Stepwell,Temple tank,Dam,Great Bath
Great Bath is located at,Mohenjo-Daro,Harappa,Lothal,Dholavira,Mohenjo-Daro
Great Bath was made waterproof using,Bitumen,Cement,Lime,Clay,Bitumen
Indus Civilization had evidence of,No temples,Only temples,Only palaces,No cities,No temples
Indus drainage system was,Underground covered drains,Open sewage only,No system,River based,Underground covered drains
Which site shows dockyard evidence?,Lothal,Harappa,Mohenjo-Daro,Rakhigarhi,Lothal
Lothal was a major center of,Sea trade,Agriculture,Warfare,Hunting,Sea trade
Lothal dockyard connects to,Gulf of Khambhat,Gulf of Mannar,Arabian Sea,Red Sea,Gulf of Khambhat
Indus Civilization traded with,Mesopotamia,Egypt,China,All of the above,All of the above
Mesopotamian name for Indus region was,Meluhha,Dilmun,Magan,Assyria,Meluhha
Indus seals found in Mesopotamia prove,Trade relations,War invasion,Migration only,No contact,Trade relations
Which Sumerian king mentions Meluhha?,Naram-Sin,Hammurabi,Sargon,Alexander,Naram-Sin
Indus Civilization declined around,1900 BCE,1500 BCE,1000 BCE,2500 BCE,1900 BCE
Reason for decline includes,Climate change,Floods,Migration,All of the above,All of the above
Kalibangan is famous for,Fire altars,Ports,Coins,Script,Fire altars
Banawali is known for,Ploughed field evidence,Harbour,Temple,Metal coins,Ploughed field evidence
Harappa Granary was used for,Food storage,Weapons,Water,Religious rituals,Food storage
Indus Civilization had evidence of,No monarchy,Strong monarchy,Empire system,Republic,No monarchy
Indus society was,Urban,Pastoral,Nomadic,Forest based,Urban
Which site shows bead-making industry?,Kodumanal,Harappa,Lothal,All of the above,All of the above
Carnelian beads were made from,Red quartz,Gold,Iron,Clay,Red quartz
Indus people used which for fishing?,Hooks and nets,Swords,Spears only,Bows,Hooks and nets
Indus toys included,Clay carts,Wooden guns,Iron robots,Stone wheels,Clay carts
Indus pottery was mostly,Red ware with black designs,Blue pottery,White marble,Glass pottery,Red ware with black designs
Indus people had knowledge of,Navigation,Astronomy only,Medicine only,Writing,Navigation
Indus Civilization is associated with which modern Tamil Nadu site for comparison?,Keeladi,Adichanallur,Korkai,Poompuhar,Keeladi
Indus Civilization is considered contemporary with,Mesopotamia,Egypt,China,All of the above,All of the above
Indus script has how many symbols?,400-600 approx,50-100,1000+,200-300,400-600 approx
Indus Civilization used which transport?,Bullock carts,Railways,Airplanes,Ships only,Bullock carts
Which animal played major role in transport?,Bull,Buffalo,Horse,Camel,Bull
Indus Civilization houses had,Private wells,Public wells only,No wells,River taps,Private wells
Indus Civilization had evidence of,Urban sanitation system,Rural farming only,No drainage,Nomadic life,Urban sanitation system
Which site shows three-tier city planning?,Dholavira,Harappa,Mohenjo-Daro,Lothal,Dholavira
Indus Civilization used seals mainly for,Trade identification,War,Religion,Tax,Trade identification
Indus Civilization is also called,Harappan Civilization,Mauryan Civilization,Vedic Civilization,Gupta Civilization,Harappan Civilization
