Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
C: Which civilisation declined before the Vedic Age?,Mesopotamian Civilisation,Indus Valley Civilisation,Egyptian Civilisation,Chinese Civilisation,Indus Valley Civilisation
The Vedic Age succeeded which civilisation?,Greek Civilisation,Indus Valley Civilisation,Roman Civilisation,Persian Civilisation,Indus Valley Civilisation
What was the period of the Vedic Age?,2500 BC–1500 BC,1500 BC–600 BC,1000 BC–500 BC,3000 BC–2000 BC,1500 BC–600 BC
The Vedic Age is named after?,Kings,Rivers,Vedas,Mountains,Vedas
How many Vedas are the primary sources of the Vedic Age?,Two,Three,Four,Five,Four
Who were the Aryans?,Urban traders,Indo-Aryan language-speaking pastoralists,Dravidian farmers,Greek warriors,Indo-Aryan language-speaking pastoralists
The Aryans migrated from?,Europe,Central Asia,South India,China,Central Asia
Through which pass did the Aryans enter India?,Bolan Pass,Khyber Pass,Nathu La Pass,Shipki La Pass,Khyber Pass
The Khyber Pass is located in the?,Vindhya Mountains,Hindu Kush Mountains,Aravalli Hills,Western Ghats,Hindu Kush Mountains
What was the primary occupation of the early Aryans?,Fishing,Cattle rearing,Trade,Hunting,Cattle rearing
What was the secondary occupation of the Aryans?,Ship building,Agriculture,Mining,Weaving,Agriculture
Which farming method was practiced by the Aryans?,Terrace farming,Slash and Burn Agriculture,Plantation farming,Mixed farming,Slash and Burn Agriculture
What happens first in Slash and Burn Agriculture?,Harvesting,Burning trees,Cutting trees and plants,Sowing seeds,Cutting trees and plants
Why was vegetation burnt in Slash and Burn Agriculture?,For entertainment,To clear land and provide ash fertilizer,To worship gods,To grow forests,To clear land and provide ash fertilizer
What happened after soil lost fertility in Slash and Burn Agriculture?,Land was irrigated,People moved to another place,New seeds were imported,Taxes were collected,People moved to another place
The Vedic civilisation was mainly?,Urban,Rural,Industrial,Maritime,Rural
The Vedic Age belonged to which age?,Stone Age,Bronze Age,Iron Age,Modern Age,Iron Age
Which national motto is taken from the Mundaka Upanishad?,Jai Hind,Satyameva Jayate,Vande Mataram,Inquilab Zindabad,Satyameva Jayate
What does “Satyameva Jayate” mean?,Victory to India,Truth alone triumphs,Long live peace,Knowledge is power,Truth alone triumphs
Which period is also called the Rig Vedic Period?,Mauryan Period,Early Vedic Period,Gupta Period,Sangam Period,Early Vedic Period
What was the time period of the Early Vedic Age?,2000–1500 BC,1500–1000 BC,1000–600 BC,600–300 BC,1500–1000 BC
Which region was the homeland of the Early Aryans?,Deccan Plateau,Punjab region,Gangetic Plain,Tamilakam,Punjab region
What does Sapta Sindhu mean?,Land of mountains,Land of seven rivers,Land of kings,Land of forests,Land of seven rivers
The Aryans in the Early Vedic period were mainly?,Urban people,Semi-nomadic pastoralists,Industrial workers,Seafarers,Semi-nomadic pastoralists
What was the period of the Later Vedic Age?,1500–1000 BC,1000–600 BC,600–300 BC,2000–1500 BC,1000–600 BC
To which region did Aryans expand during the Later Vedic period?,Punjab only,Indo-Gangetic Plain,South India only,Kashmir Valley,Indo-Gangetic Plain
