Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which dynasty ruled the fertile Kaveri delta during the Sangam Age?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which city served as the inland capital of the Sangam Cholas?,Uraiyur,Puhar,Madurai,Vanchi,Uraiyur
Which city served as the coastal capital of the Sangam Cholas?,Puhar,Uraiyur,Korkai,Madurai,Puhar
What was another name of Puhar?,Kaveripoompattinam,Musiri,Korkai,Vanchi,Kaveripoompattinam
What was the royal emblem of the Cholas?,Tiger,Bow and Arrow,Twin Fish,Lion,Tiger
Which flower served as the royal garland of the Cholas?,Athi flower,Palmyra flower,Neem flower,Lotus,Athi flower
Which title belonged to Chola rulers?,Killi,Valuthi,Irumporai,Maran,Killi
Which title belonged to Chola rulers?,Senni,Vanavan,Sezhiyan,Kuttuvan,Senni
Which title belonged to Chola rulers?,Sembiyan,Irumporai,Valuthi,Maran,Sembiyan
Who is regarded as the greatest Sangam Chola king?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola king built Kallanai?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Across which river was Kallanai built?,Kaveri,Vaigai,Palar,Tamirabarani,Kaveri
Approximately how many acres were irrigated by Kallanai?,69000 acres,50000 acres,100000 acres,25000 acres,69000 acres
Which battle established Karikalan's supremacy?,Battle of Venni,Battle of Talayalanganam,Battle of Pullalur,Battle of Takkolam,Battle of Venni
Who were defeated by Karikalan at Venni?,Cheras and Pandyas,Cheras and Pallavas,Pandyas and Pallavas,Romans and Cheras,Cheras and Pandyas
How many Velir chiefs were defeated by Karikalan at Venni?,Eleven,Seven,Five,Three,Eleven
Which Chola ruler converted forests into cultivable lands?,Karikalan,Kocengannan,Perunarkilli,Killi Valavan,Karikalan
Which literary work praises Karikalan and Puhar?,Pattinappaalai,Maduraikkanji,Pathitrupathu,Paripadal,Pattinappaalai
Who authored Pattinappaalai?,Kadiyalur Uruttirangannanar,Nakkirar,Kapilar,Sattanar,Kadiyalur Uruttirangannanar
Which Chola king was known for piety?,Kocengannan,Karikalan,Killi Valavan,Perunarkilli,Kocengannan
Which Chola ruler was famous for strong chariots?,Ilanchetsenni,Karikalan,Kocengannan,Perunarkilli,Ilanchetsenni
Which Chola port was a major center of maritime trade?,Puhar,Korkai,Tondi,Muziris,Puhar
Which ocean trade network enriched the Cholas?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Arctic Ocean,Indian Ocean
Which dynasty used Tiger as royal symbol?,Cholas,Cheras,Pandyas,Ay,Cholas
Which Chola ruler is associated with irrigation development?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola city was famous for cotton textiles?,Uraiyur,Kanchi,Korkai,Madurai,Uraiyur
Which Chola ruler fought the Venni battle?,Karikalan,Killi Valavan,Perunarkilli,Kocengannan,Karikalan
Which dynasty controlled the Kaveri delta trade routes?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which title identifies a Chola king in match-the-following questions?,Killi,Valuthi,Irumporai,Vanavan,Killi
Which flower garland belonged to Cholas?,Athi flower,Neem flower,Palmyra flower,Lotus,Athi flower
Which Chola ruler was praised in Pattinappaalai?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which city was known for Chola maritime trade?,Puhar,Korkai,Vanchi,Madurai,Puhar
Which Chola ruler built one of the oldest dams in the world?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Sangam Chola king is linked with agricultural prosperity?,Karikalan,Kocengannan,Perunarkilli,Ilanchetsenni,Karikalan
Which Chola kingdom extended up to Venkatam hills?,Sangam Cholas,Cheras,Pandyas,Pallavas,Sangam Cholas
Which dynasty had Uraiyur as capital?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which Chola ruler is often celebrated in Sangam poems?,Karikalan,Kocengannan,Perunarkilli,Killi Valavan,Karikalan
Which dynasty controlled Puhar?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which Chola ruler defeated a confederacy of rulers at Venni?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola dynasty symbol appeared on coins?,Tiger,Bow and Arrow,Fish,Elephant,Tiger
Which Chola ruler is remembered for public works?,Karikalan,Killi Valavan,Perunarkilli,Kocengannan,Karikalan
Which Sangam Chola ruler was known as Perunarkilli?,A Chola king,A Chera king,A Pandya king,A Velir chief,A Chola king
Which Chola ruler performed Rajasuya sacrifice according to literature?,Perunarkilli,Karikalan,Kocengannan,Ilanchetsenni,Perunarkilli
Which Chola king is associated with many temple constructions in later traditions?,Kocengannan,Karikalan,Perunarkilli,Killi Valavan,Kocengannan
Which Chola ruler is called Karikal Valavan in literature?,Karikalan,Killi Valavan,Kocengannan,Perunarkilli,Karikalan
Which river valley formed the core of Chola prosperity?,Kaveri,Vaigai,Palar,Tamirabarani,Kaveri
Which Chola port connected Tamilakam with Rome?,Puhar,Korkai,Muziris,Tondi,Puhar
Which Chola ruler improved agriculture through irrigation?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which literary source gives details about Puhar city?,Pattinappaalai,Pathitrupathu,Nedunalvadai,Paripadal,Pattinappaalai
Which Chola ruler is associated with the Battle of Venni?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola title means noble Chola lineage?,Sembiyan,Killi,Senni,Valavan,Sembiyan
