Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
What does diversity mean?,Living in one place,Being different from one another,Speaking one language only,Following one religion,Being different from one another
How old is Indian civilization according to historical studies?,1000 years,2000 years,3000 years,5000 years,5000 years
Which racial groups migrated to India in ancient times?,Dravidians Aryans Mongoloids Negroids and Alpines,Only Aryans,Only Dravidians,Only Europeans,Dravidians Aryans Mongoloids Negroids and Alpines
Which of the following is NOT a racial group mentioned in Indian diversity?,Dravidians,Mongoloids,Negroids,Vikings,Vikings
Why is India called a sub-continent?,Because it has many languages,Because it has all physical features of a continent,Because it is very small,Because it has one climate only,Because it has all physical features of a continent
Which economic activity is mainly practiced in plains?,Fishing,Agriculture,Animal rearing,Hunting,Agriculture
Which occupation is common in coastal areas?,Mining,Fishing,Tea cultivation,Animal rearing,Fishing
Which occupation is common in mountainous regions?,Fishing,Trade,Animal rearing,Ship building,Animal rearing
Which crops are mainly cultivated in hilly regions?,Rice and wheat,Coffee and tea,Cotton and sugarcane,Millets and pulses,Coffee and tea
Which place receives the highest rainfall in India?,Chennai,Jaisalmer,Mawsynram,Mumbai,Mawsynram
Mawsynram is located in which state?,Kerala,Rajasthan,Meghalaya,Assam,Meghalaya
Which place receives the lowest rainfall in India?,Mawsynram,Jaisalmer,Delhi,Shillong,Jaisalmer
Jaisalmer is located in which state?,Rajasthan,Punjab,Gujarat,Haryana,Rajasthan
What is the fundamental unit of society?,Village,Family,School,Temple,Family
Which type of family includes grandparents parents and children together?,Nuclear family,Joint family,Small family,Single-parent family,Joint family
Which type of family consists mainly of parents and children?,Joint family,Nuclear family,Extended family,Clan,Nuclear family
India is called a secular country because?,It follows one religion,It has no religion,It does not declare any religion as state religion,Only Hindus live there,It does not declare any religion as state religion
Freedom of religion is guaranteed as which type of right in India?,Legal right,Federal right,Fundamental right,Civil right,Fundamental right
Which religion originated in India?,Buddhism,Jainism,Hinduism,All of these,All of these
How many major languages were recorded in the 2001 Census?,22,50,122,1599,122
How many other languages were recorded in the 2001 Census?,122,500,1000,1599,1599
How many major language families are found in India?,2,3,4,5,4
Which is the oldest Dravidian language?,Kannada,Malayalam,Telugu,Tamil,Tamil
Which language family does Tamil belong to?,Indo-Aryan,Dravidian,Sino-Tibetan,Austroasiatic,Dravidian
Which language family includes Hindi?,Dravidian,Sino-Tibetan,Indo-Aryan,Austroasiatic,Indo-Aryan
Which language family includes languages spoken in North-East India?,Dravidian,Indo-Aryan,Sino-Tibetan,Austroasiatic,Sino-Tibetan
Which language family includes Santali?,Dravidian,Indo-Aryan,Austroasiatic,Sino-Tibetan,Austroasiatic
Which language had the highest percentage of speakers according to the 2011 Census?,Tamil,Bengali,Hindi,Marathi,Hindi
According to the 2011 Census what percentage of people speak Hindi in India?,43.63%,38.20%,52.10%,29.45%,43.63%
According to the 2011 Census what percentage of people speak Bengali in India?,5.89%,6.93%,8.30%,7.09%,8.30%
According to the 2011 Census what percentage of people speak Marathi in India?,5.89%,7.09%,8.30%,6.93%,7.09%
According to the 2011 Census what percentage of people speak Telugu in India?,8.30%,5.89%,6.93%,7.09%,6.93%
According to the 2011 Census what percentage of people speak Tamil in India?,6.93%,5.89%,7.09%,8.30%,5.89%
How many official languages are recognized by the Indian Constitution?,18,20,22,24,22
Which was declared as the first classical language of India in 2004?,Hindi,Sanskrit,Tamil,Telugu,Tamil
In which year was Tamil declared a classical language?,2001,2004,2005,2008,2004
Which language was declared classical in 2005?,Tamil,Sanskrit,Telugu,Odia,Sanskrit
Which two languages were declared classical in 2008?,Tamil and Sanskrit,Telugu and Kannada,Malayalam and Odia,Hindi and Bengali,Telugu and Kannada
Which language was declared classical in 2013?,Tamil,Malayalam,Odia,Telugu,Malayalam
Which language was declared classical in 2014?,Kannada,Odia,Sanskrit,Tamil,Odia
What does culture include?,Customs and dress only,Religion only,Food only,Customs dress religion art and music,Customs dress religion art and music
Which state has about 60 percent of ASI inscriptions?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,Tamil Nadu
Most ASI inscriptions found in Tamil Nadu are in which script?,Devanagari,Grantha,Tamil script,Arabic,Tamil script
Which classical dance form belongs to Tamil Nadu?,Kathakali,Kuchipudi,Bharatanatyam,Garba,Bharatanatyam
Which folk dance is associated with Tamil Nadu?,Karagattam,Bhangra,Garba,Manipuri,Karagattam
Which dance form belongs to Kerala?,Kathakali,Bharatanatyam,Kathak,Odissi,Kathakali
Which dance form is associated with Andhra Pradesh?,Yakshagana,Kuchipudi,Bihu,Garba,Kuchipudi
Which dance form belongs to Karnataka?,Kathakali,Yakshagana,Manipuri,Odissi,Yakshagana
Which dance form is associated with Odisha?,Bhangra,Odissi,Ras Lila,Sattriya,Odissi
Which dance form belongs to Manipur?,Manipuri,Bharatanatyam,Garba,Kummi,Manipuri
Which dance form is associated with Assam?,Kathak,Sattriya,Bhangra,Karagattam,Sattriya
Which dance form is popular in Punjab?,Kathak,Bhangra,Garba,Odissi,Bhangra
Which dances are famous in Gujarat?,Kathak and Bhangra,Garba and Dandia,Kummi and Kolattam,Manipuri and Bihu,Garba and Dandia
Which dances are associated with Rajasthan?,Kalbelia and Ghoomer,Kathak and Ras Lila,Bihu and Sattriya,Kummi and Therukoothu,Kalbelia and Ghoomer
Which dance form belongs to Uttar Pradesh?,Kathakali,Ras Lila,Manipuri,Garba,Ras Lila
Which dance form is associated with Uttarakhand?,Chholiya,Karagattam,Kolattam,Bommalattam,Chholiya
Who coined the phrase 'Unity in Diversity'?,Mahatma Gandhi,Jawaharlal Nehru,B.R. Ambedkar,Subhas Chandra Bose,Jawaharlal Nehru
In which book did Jawaharlal Nehru mention 'Unity in Diversity'?,Glimpses of World History,Discovery of India,My Experiments with Truth,India Wins Freedom,Discovery of India
Who called India an 'Ethnological Museum'?,Megasthenes,V.A. Smith,Pliny,Kalidasa,V.A. Smith
Why did V.A. Smith call India an 'Ethnological Museum'?,Because of its museums,Because of racial diversity,Because of temples,Because of forests,Because of racial diversity
What unites people in India despite diversity?,Only language,Only religion,Patriotism and national symbols,Only festivals,Patriotism and national symbols
Which national symbols help unite Indians?,National Flag and Anthem,Only currency,Only Parliament,Only Constitution,National Flag and Anthem
Which family type is becoming more common in urban areas?,Joint family,Nuclear family,Clan family,Tribal family,Nuclear family
Who was the first Prime Minister of independent India?,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,B.R. Ambedkar,Jawaharlal Nehru
