Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Constitution of India: In which year was Poorna Swaraj declared at the Lahore Congress?,1927,1928,1929,1930,1929
Constitution of India: Which Congress session declared Poorna Swaraj?,Karachi Congress,Lahore Congress,Calcutta Congress,Madras Congress,Lahore Congress
Constitution of India: On which date was the first Independence Day celebrated before independence?,15 August 1947,26 January 1930,9 December 1946,26 November 1949,26 January 1930
Constitution of India: Which date later became Republic Day of India?,15 August,2 October,26 January,26 November,26 January
Constitution of India: When was the first meeting of the Constituent Assembly held?,9 December 1946,26 January 1950,15 August 1947,26 November 1949,9 December 1946
Constitution of India: In which year was the Constituent Assembly formed?,1945,1946,1947,1950,1946
Constitution of India: How many members were there in the Constituent Assembly originally?,299,389,448,395,389
Constitution of India: Who was the Chairman of the Constituent Assembly?,Jawaharlal Nehru,Dr Rajendra Prasad,Dr B R Ambedkar,Sardar Patel,Dr Rajendra Prasad
Constitution of India: How many women members were part of the Constituent Assembly?,10,12,15,18,15
Constitution of India: Who was the Chairman of the Drafting Committee?,Dr Rajendra Prasad,Jawaharlal Nehru,Dr B R Ambedkar,Sardar Patel,Dr B R Ambedkar
Constitution of India: How many members were there in the Drafting Committee?,6,7,8,9,8
Constitution of India: Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,Jawaharlal Nehru,Dr B R Ambedkar,Dr Rajendra Prasad,Dr B R Ambedkar
Constitution of India: Who served as the Constitutional Advisor to the Constituent Assembly?,B N Rao,K M Munshi,T T Krishnamachari,Alladi Krishnaswamy,B N Rao
Constitution of India: Which among the following was a member of the Drafting Committee?,K M Munshi,Lord Mountbatten,C Rajagopalachari,Sarojini Naidu,K M Munshi
Constitution of India: Which among the following was a member of the Drafting Committee?,Syed Mohammad Sadullah,Annie Besant,Subash Chandra Bose,Bal Gangadhar Tilak,Syed Mohammad Sadullah
Constitution of India: Which among the following was a member of the Drafting Committee?,N Madhava Rao,Lal Bahadur Shastri,Bipin Chandra Pal,Rajaji,N Madhava Rao
Constitution of India: Which among the following was a member of the Drafting Committee?,T T Krishnamachari,Sukhdev,Rajendra Lahiri,Chandrasekhar Azad,T T Krishnamachari
Constitution of India: Which among the following was a member of the Drafting Committee?,Alladi Krishnaswamy,Bhagat Singh,Motilal Nehru,Lala Lajpat Rai,Alladi Krishnaswamy
Constitution of India: The Indian Constitution borrowed features from constitutions of nearly how many countries?,40,50,60,70,60
Constitution of India: Which country’s constitution influenced the Parliamentary form of Government in India?,USA,France,UK,Canada,UK
Constitution of India: Which country’s constitution influenced Fundamental Rights in India?,UK,USA,France,Japan,USA
Constitution of India: Which country’s constitution influenced the Directive Principles of State Policy?,Ireland,Russia,France,Canada,Ireland
Constitution of India: Nearly how many amendments were suggested during the drafting of the Constitution?,500,1000,2000,3000,2000
Constitution of India: How much time was taken to draft the Constitution of India?,1 year 6 months,2 years 11 months 18 days,3 years 2 months,4 years,2 years 11 months 18 days
Constitution of India: Approximately how much money was spent on framing the Constitution?,24 lakhs,40 lakhs,64 lakhs,1 crore,64 lakhs
Constitution of India: On which date was the Constitution of India completed?,15 August 1947,26 January 1950,26 November 1949,9 December 1946,26 November 1949
Constitution of India: On which date did the Constitution of India come into force?,15 August 1947,26 November 1949,26 January 1950,2 October 1950,26 January 1950
Constitution of India: Which day is celebrated as Constitution Day in India?,15 August,26 January,26 November,2 October,26 November
Constitution of India: Where are the original copies of the Constitution preserved?,Rashtrapati Bhavan,Supreme Court,Parliament Library,National Museum,Parliament Library
Constitution of India: The original copies of the Constitution are preserved in which type of cases?,Glass cases,Steel lockers,Helium filled cases,Wooden boxes,Helium filled cases
Constitution of India: How many Articles were there in the Constitution at the time of adoption?,395,448,500,370,395
Constitution of India: How many Parts were there in the Constitution at the time of adoption?,20,22,24,25,22
Constitution of India: How many Schedules were there in the Constitution at the time of adoption?,6,8,10,12,8
Constitution of India: How many Articles are there in the Constitution at present according to the text?,395,420,448,500,448
Constitution of India: How many Parts are there in the Constitution at present according to the text?,22,23,24,25,25
Constitution of India: How many Schedules are there in the Constitution at present according to the text?,8,10,12,14,12
Constitution of India: How many Constitutional Amendments were made till 30 October 2021?,101,103,105,110,105
Constitution of India: What is called the Soul of the Constitution?,Directive Principles,Preamble,Fundamental Duties,Schedules,Preamble
Constitution of India: Which among the following is included in the Preamble?,Justice,Dictatorship,Monarchy,Imperialism,Justice
Constitution of India: Which among the following is included in the Preamble?,Liberty,Slavery,Autocracy,Colonialism,Liberty
Constitution of India: Which among the following is included in the Preamble?,Equality,Discrimination,Untouchability,Communalism,Equality
Constitution of India: Which among the following is included in the Preamble?,Fraternity,Monarchy,Separate Electorate,Imperialism,Fraternity
Constitution of India: India is described as which type of Republic in the Preamble?,Religious Republic,Military Republic,Democratic Republic,Colonial Republic,Democratic Republic
Constitution of India: India is described as which type of state in the Preamble?,Theocratic State,Secular State,Dictatorial State,Monarchical State,Secular State
Constitution of India: India is described as which type of economic system in the Preamble?,Capitalist,Socialist,Feudal,Imperialist,Socialist
Constitution of India: Sovereignty refers to what?,Rule by monarchy,Ultimate power of the country,Rule by army,Colonial rule,Ultimate power of the country
Constitution of India: Secularism means?,State religion exists,All religions have equal status,Only one religion allowed,Religious rule,All religions have equal status
Constitution of India: India follows which form of Government?,Presidential form,Parliamentary form,Military form,Dictatorship,Parliamentary form
Constitution of India: Parliamentary Government exists at which levels in India?,Only Centre,Only State,Both Centre & State,Local bodies only,Both Centre & State
Fundamental Rights: How many Fundamental Rights are mentioned in the text?,4,5,6,7,6
Fundamental Rights: Which Fundamental Right abolishes discrimination?,Right to Equality,Right to Freedom,Right against Exploitation,Right to Religion,Right to Equality
Fundamental Rights: Which Fundamental Right includes freedom of speech?,Right to Equality,Right to Freedom,Right to Religion,Cultural Rights,Right to Freedom
Fundamental Rights: Which Fundamental Right prohibits human trafficking and forced labour?,Right to Freedom,Right against Exploitation,Right to Religion,Right to Equality,Right against Exploitation
Fundamental Rights: Which Fundamental Right allows citizens to follow any religion?,Right to Equality,Right to Religion,Right to Freedom,Right to Constitutional Remedies,Right to Religion
Fundamental Rights: Which Fundamental Right protects minority culture and education?,Cultural & Educational Rights,Right to Freedom,Right to Equality,Right against Exploitation,Cultural & Educational Rights
Fundamental Rights: Which Fundamental Right allows citizens to move courts for protection of rights?,Right to Equality,Right to Constitutional Remedies,Right to Freedom,Right to Religion,Right to Constitutional Remedies
Directive Principles: DPSP stands for?,Directive Principles of State Policy,Development Principles of State Planning,Directive Policies of States,Duties & Principles of State Policy,Directive Principles of State Policy
Directive Principles: Directive Principles are mainly meant for whom?,Citizens,Courts,Governments,Foreigners,Governments
Directive Principles: Directive Principles are ______ in nature.,Legally enforceable,Mandatory,Non mandatory but essential,Temporary,Non mandatory but essential
Fundamental Duties: Fundamental Duties include respect for which national symbols?,National Bird only,National Flag & Anthem,National Animal only,National Flower only,National Flag & Anthem
Fundamental Duties: Fundamental Duties include protection of which among the following?,Political parties,Environment,Industries,Languages,Environment
Fundamental Duties: Parents should provide education to children between which age group?,5 to 10 years,6 to 14 years,7 to 15 years,10 to 18 years,6 to 14 years
Citizenship & Voting: Universal Adult Franchise means?,Right to property,Right to education,Right to vote for all adults,Right to employment,Right to vote for all adults
Citizenship & Voting: At what age does an Indian citizen get the right to vote?,16 years,18 years,21 years,25 years,18 years
Citizenship & Voting: Universal Adult Franchise is given irrespective of ______?,Caste religion gender & status,Language only,Education only,Income only,Caste religion gender & status
Constitution of India: Who became the first President of India after the Constitution came into force?,Jawaharlal Nehru,Dr Rajendra Prasad,Sardar Patel,Dr B R Ambedkar,Dr Rajendra Prasad
Constitution of India: The Constitution of India established India as a ______ nation.,Colonial,Republic,Monarchy,Protectorate,Republic
Constitution of India: Which feature makes India a Democratic Republic?,Hereditary rule,Elected representatives,Military administration,Foreign rule,Elected representatives
Constitution of India: The Constitution provides equality before ______?,Religion,Law,Wealth,Language,Law
Constitution of India: Which body framed the Constitution of India?,Planning Commission,Constituent Assembly,Parliament,Supreme Court,Constituent Assembly
