Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which dynasty ruled over present-day Kerala and western Tamil Nadu during the Sangam Age?,Cheras,Cholas,Pandyas,Pallavas,Cheras
What was the capital city of the Cheras?,Vanchi,Madurai,Uraiyur,Korkai,Vanchi
What was the alternative name of Vanchi?,Karur,Kanchi,Puhar,Musiri,Karur
Which port was famous under the Cheras?,Muziris,Korkai,Puhar,Arikamedu,Muziris
Which Chera port was also known as Musiri?,Muziris,Korkai,Puhar,Tondi,Muziris
What was the royal emblem of the Cheras?,Bow and Arrow,Tiger,Twin Fish,Lion,Bow and Arrow
Which flower served as the royal garland of the Cheras?,Palmyra flower,Neem flower,Athi flower,Lotus,Palmyra flower
Which title was commonly used by Chera rulers?,Vanavan,Killi,Valuthi,Senni,Vanavan
Which title belonged to Chera rulers?,Irumporai,Sembiyan,Sezhiyan,Killi,Irumporai
Which title was associated with the Chera kings?,Kuttuvan,Valuthi,Senni,Maran,Kuttuvan
Who is considered the earliest known Chera ruler?,Udayan Cheralathan,Senguttuvan,Neduncheralathan,Irumporai,Udayan Cheralathan
Which Chera ruler earned the title Imayavaramban?,Neduncheralathan,Senguttuvan,Udayan Cheralathan,Irumporai,Neduncheralathan
What does Imayavaramban mean?,One whose boundary was the Himalayas,Lord of the oceans,King of mountains,Conqueror of Lanka,One whose boundary was the Himalayas
Which Chera king introduced the Pattini cult?,Cheran Senguttuvan,Udayan Cheralathan,Neduncheralathan,Irumporai,Cheran Senguttuvan
Who was worshipped in the Pattini cult?,Kannagi,Madhavi,Manimegalai,Kotravai,Kannagi
Why did Senguttuvan march to North India?,To bring stone for Kannagi idol,To conquer Magadha,To spread Buddhism,To attack Mauryas,To bring stone for Kannagi idol
Which Chera king is called the Red Chera?,Senguttuvan,Neduncheralathan,Udayan Cheralathan,Irumporai,Senguttuvan
Which literary work is the primary source for Chera history?,Pathitrupathu,Purananuru,Natrinai,Paripadal,Pathitrupathu
How many tens were originally present in Pathitrupathu?,10,8,5,12,10
How many tens survive today in Pathitrupathu?,8,10,6,5,8
Which inscription gives genealogy of the Cheras?,Pugalur inscription,Hathigumpha inscription,Ashokan inscription,Allahabad inscription,Pugalur inscription
How many generations of Chera rulers are mentioned in the Pugalur inscription?,Three,Five,Two,Seven,Three
Which emblem appeared on Chera coins?,Bow and Arrow,Tiger,Fish,Elephant,Bow and Arrow
Which Chera ruler issued coins in his own name?,Cheral Irumporai,Senguttuvan,Udayan Cheralathan,Neduncheralathan,Cheral Irumporai
Which Roman writer called Muziris the First Emporium of India?,Pliny the Elder,Herodotus,Strabo,Megasthenes,Pliny the Elder
Which major export item enriched the Chera kingdom?,Pepper,Horses,Silk,Gold,Pepper
Which region formed the core of Chera rule?,Kongu region,Kaveri delta,Tondaimandalam,Pandya country,Kongu region
Which present-day state was largely under Chera rule?,Kerala,Andhra Pradesh,Karnataka,Odisha,Kerala
Which port of the Cheras was famous for Roman trade?,Muziris,Korkai,Puhar,Uraiyur,Muziris
Who was the brother of Senguttuvan?,Ilango Adigal,Sattanar,Kapilar,Paranar,Ilango Adigal
Who authored Silappathikaram?,Ilango Adigal,Sattanar,Nakkirar,Kapilar,Ilango Adigal
Which Chera ruler fed both armies in the Mahabharata war according to tradition?,Udayan Cheralathan,Senguttuvan,Neduncheralathan,Irumporai,Udayan Cheralathan
Which title means ruler of mountains and seas in Chera context?,Vanavan,Senni,Valuthi,Killi,Vanavan
Which dynasty ruled the western coast trade routes?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which sea was connected to Chera trade?,Arabian Sea,Bay of Bengal,Red Sea,South China Sea,Arabian Sea
Which port among the following belonged to the Cheras?,Tondi,Korkai,Puhar,Uraiyur,Tondi
Which literary work praises Chera kings extensively?,Pathitrupathu,Maduraikkanji,Pattinappaalai,Nedunalvadai,Pathitrupathu
Which foreign empire traded heavily with the Cheras?,Romans,Chinese,Persians,Mongols,Romans
Which Chera ruler brought fame to the Pattini cult?,Senguttuvan,Udayan Cheralathan,Irumporai,Neduncheralathan,Senguttuvan
Which royal title helps identify a Chera king in TNPSC exams?,Irumporai,Sezhiyan,Sembiyan,Killi,Irumporai
Which dynasty used the Palmyra flower garland?,Cheras,Cholas,Pandyas,Velirs,Cheras
Which Chera ruler is praised in Sangam poems for military success?,Neduncheralathan,Senguttuvan,Udayan Cheralathan,Irumporai,Neduncheralathan
Which kingdom controlled Muziris and Tondi?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which dynasty is associated with western hill tribes in Sangam literature?,Cheras,Cholas,Pandyas,Velirs,Cheras
Which dynasty ruled central and northern Kerala?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which trade item from Chera land reached Egyptian mummies?,Pepper,Pearls,Horses,Corals,Pepper
Which Chera ruler is associated with northern expeditions?,Senguttuvan,Irumporai,Udayan Cheralathan,Neduncheralathan,Senguttuvan
Which Sangam dynasty had Karur as an important center?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which Chera port was famous for spice trade?,Muziris,Korkai,Puhar,Arikamedu,Muziris
Which dynasty used Bow and Arrow as royal symbol?,Cheras,Cholas,Pandyas,Ay,Cheras
Which Chera ruler is known through Pugalur inscription?,Irumporai,Karikalan,Nedunchezhiyan,Kocengannan,Irumporai
Which Sangam ruler is connected with Kannagi worship?,Senguttuvan,Karikalan,Nedunchezhiyan,Mudukudumi,Senguttuvan
Which dynasty ruled from Vanchi?,Cheras,Cholas,Pandyas,Pallavas,Cheras
