Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which is considered the oldest extant Tamil grammatical work?,Tolkappiyam,Thirukkural,Silappathikaram,Manimegalai,Tolkappiyam
Who authored Tolkappiyam?,Tolkappiyar,Thiruvalluvar,Kapilar,Ilango Adigal,Tolkappiyar
Tolkappiyam is divided into how many major sections?,3,2,5,7,3
Which section of Tolkappiyam deals with letters and sounds?,Ezhuthathikaram,Sollathikaram,Porulathikaram,Yappu,Ezhuthathikaram
Which section of Tolkappiyam deals with words and grammar?,Sollathikaram,Ezhuthathikaram,Porulathikaram,Ani,Sollathikaram
Which section of Tolkappiyam deals with subject matter and social life?,Porulathikaram,Ezhuthathikaram,Sollathikaram,Yappu,Porulathikaram
Which literary theme deals with love and personal emotions?,Agam,Puram,Thinai,Iyal,Agam
Which literary theme deals with war and public life?,Puram,Agam,Kalavu,Karpu,Puram
Which collection is known as the Eight Anthologies?,Ettuthogai,Pathupattu,Pathinenkeezhkanakku,Aimperumkappiyam,Ettuthogai
Which collection is known as the Ten Idylls?,Pathupattu,Ettuthogai,Pathinenkeezhkanakku,Ainkurunuru,Pathupattu
Which work belongs to Ettuthogai?,Akananuru,Thirukkural,Naladiyar,Silappathikaram,Akananuru
Which work belongs to Pathupattu?,Pattinappaalai,Naladiyar,Inna Narpathu,Thirukkural,Pattinappaalai
How many poems are found in Akananuru?,400,300,500,200,400
How many poems are found in Purananuru?,400,500,300,200,400
Which Sangam work mainly deals with external life and heroism?,Purananuru,Natrinai,Kurunthogai,Ainkurunuru,Purananuru
Which Sangam work mainly deals with love themes?,Akananuru,Purananuru,Pathitrupathu,Pattinappaalai,Akananuru
Which work gives detailed information about Madurai?,Maduraikkanji,Pattinappaalai,Naladiyar,Pathitrupathu,Maduraikkanji
Which work gives information about the Chola port city Puhar?,Pattinappaalai,Maduraikkanji,Pathitrupathu,Natrinai,Pattinappaalai
Who authored Pattinappaalai?,Kadiyalur Uruttirangannanar,Nakkirar,Kapilar,Sattanar,Kadiyalur Uruttirangannanar
Which work is the major source for Chera history?,Pathitrupathu,Purananuru,Natrinai,Paripadal,Pathitrupathu
How many tens were originally present in Pathitrupathu?,10,8,5,12,10
How many tens survive today in Pathitrupathu?,8,10,6,5,8
Which Sangam work praises Lord Murugan?,Thirumurugatrupadai,Kalithogai,Paripadal,Ainkurunuru,Thirumurugatrupadai
Which Sangam text is associated with devotional themes?,Paripadal,Purananuru,Natrinai,Maduraikkanji,Paripadal
Which literary work is also called Muppal?,Thirukkural,Tolkappiyam,Naladiyar,Manimegalai,Thirukkural
Who authored Thirukkural?,Thiruvalluvar,Kapilar,Avvaiyar,Nakkirar,Thiruvalluvar
How many couplets are present in Thirukkural?,1330,1000,1200,1500,1330
Into how many chapters is Thirukkural divided?,133,100,150,108,133
What are the three divisions of Thirukkural?,Aram Porul Inbam,Aram Veedu Inbam,Porul Veedu Aram,Aram Isai Natakam,Aram Porul Inbam
What does 'Aram' mean in Thirukkural?,Virtue,Wealth,Pleasure,War,Virtue
What does 'Porul' refer to in Thirukkural?,Wealth and polity,Love,Charity,Music,Wealth and polity
What does 'Inbam' refer to in Thirukkural?,Love,Poverty,Politics,Heroism,Love
Which work is known as the Tamil Veda?,Thirukkural,Tolkappiyam,Silappathikaram,Naladiyar,Thirukkural
Which work belongs to the Five Great Epics?,Silappathikaram,Purananuru,Natrinai,Pathitrupathu,Silappathikaram
Who authored Silappathikaram?,Ilango Adigal,Sattanar,Kambar,Avvaiyar,Ilango Adigal
Who authored Manimegalai?,Sattanar,Ilango Adigal,Kapilar,Nakkirar,Sattanar
Which epic is Buddhist in nature?,Manimegalai,Silappathikaram,Civaka Chinthamani,Valayapathi,Manimegalai
Which epic is Jain in nature?,Civaka Chinthamani,Manimegalai,Silappathikaram,Kundalakesi,Civaka Chinthamani
Who was the husband of Kannagi?,Kovalan,Maanaigan,Senguttuvan,Karikalan,Kovalan
Which city forms the setting of the beginning of Silappathikaram?,Puhar,Madurai,Vanchi,Korkai,Puhar
Who burnt Madurai according to Silappathikaram?,Kannagi,Madhavi,Manimegalai,Kotravai,Kannagi
Who was the famous dancer in Silappathikaram?,Madhavi,Avvaiyar,Manimegalai,Kannagi,Madhavi
Who introduced the Pattini cult in Tamilakam?,Cheran Senguttuvan,Karikalan,Nedunchezhiyan,Kocengannan,Cheran Senguttuvan
Who was the brother of Cheran Senguttuvan?,Ilango Adigal,Sattanar,Kapilar,Paranar,Ilango Adigal
Which epic centers around the daughter of Kovalan and Madhavi?,Manimegalai,Silappathikaram,Civaka Chinthamani,Valayapathi,Manimegalai
Which work belongs to Pathinenkeezhkanakku?,Naladiyar,Pattinappaalai,Purananuru,Paripadal,Naladiyar
Which Pathinenkeezhkanakku work contains moral teachings in quatrains?,Naladiyar,Inna Narpathu,Iniyavai Narpathu,Elathi,Naladiyar
Which Sangam poet was closely associated with Pari?,Kapilar,Avvaiyar,Nakkirar,Sattanar,Kapilar
Who was the famous woman poet of Sangam age?,Avvaiyar,Madhavi,Kannagi,Manimegalai,Avvaiyar
Which poet presided over the Tamil Sangam according to tradition?,Nakkirar,Kapilar,Sattanar,Paranar,Nakkirar
Which poet praised generosity of kings in Purananuru?,Kapilar,Kambar,Sekkizhar,Ottakoothar,Kapilar
Who received the gooseberry fruit from Adiyaman?,Avvaiyar,Kannagi,Madhavi,Manimegalai,Avvaiyar
Which Vallal gave his chariot to a climber plant?,Pari,Pegan,Ori,Nalli,Pari
Which Vallal covered a peacock with a shawl?,Pegan,Pari,Ori,Ay,Pegan
Which Vallal ruled the Kolli hills?,Ori,Pegan,Pari,Nalli,Ori
How many great patrons are celebrated as Kadaiyezhu Vallalgal?,Seven,Five,Three,Nine,Seven
Which among the following is NOT one of the Kadaiyezhu Vallalgal?,Karikalan,Pari,Pegan,Adiyaman,Karikalan
Which Sangam text contains references to Yavana traders?,Pattinappaalai,Naladiyar,Inna Narpathu,Acharakovai,Pattinappaalai
Which literary work describes the bustling life of Puhar?,Pattinappaalai,Maduraikkanji,Paripadal,Kalithogai,Pattinappaalai
Which literary work praises Madurai city?,Maduraikkanji,Pattinappaalai,Pathitrupathu,Ainkurunuru,Maduraikkanji
Which work is considered a didactic text of the post-Sangam age?,Naladiyar,Purananuru,Natrinai,Paripadal,Naladiyar
Which literary work belongs to Ettuthogai?,Kurunthogai,Thirukkural,Naladiyar,Silappathikaram,Kurunthogai
Which literary work belongs to Ettuthogai?,Natrinai,Manimegalai,Inna Narpathu,Elathi,Natrinai
Which literary work belongs to Ettuthogai?,Kalithogai,Naladiyar,Silappathikaram,Palamoli,Kalithogai
Which literary work belongs to Ettuthogai?,Paripadal,Thirukkural,Elathi,Iniyavai Narpathu,Paripadal
Which literary work belongs to Ettuthogai?,Ainkurunuru,Naladiyar,Silappathikaram,Elathi,Ainkurunuru
Which literary work belongs to Pathupattu?,Maduraikkanji,Natrinai,Paripadal,Naladiyar,Maduraikkanji
Which literary work belongs to Pathupattu?,Nedunalvadai,Thirukkural,Naladiyar,Elathi,Nedunalvadai
Which literary work belongs to Pathupattu?,Mullaippattu,Kalithogai,Palamoli,Natrinai,Mullaippattu
Which literary work belongs to Pathupattu?,Kurinjippattu,Inna Narpathu,Paripadal,Elathi,Kurinjippattu
Which literary work belongs to Pathupattu?,Porunaratrupadai,Naladiyar,Kalithogai,Iniyavai Narpathu,Porunaratrupadai
Which Sangam work provides information about the Pandya king Nedunchezhiyan?,Maduraikkanji,Pattinappaalai,Nedunalvadai,Paripadal,Maduraikkanji
Which Sangam poet composed Nedunalvadai?,Nakkirar,Kapilar,Sattanar,Avvaiyar,Nakkirar
Which literary work belongs to the Five Great Epics?,Manimegalai,Purananuru,Pathitrupathu,Natrinai,Manimegalai
Which literary work belongs to the Five Great Epics?,Civaka Chinthamani,Akananuru,Naladiyar,Kalithogai,Civaka Chinthamani
Which literary work is associated with Jain influence?,Civaka Chinthamani,Paripadal,Purananuru,Pattinappaalai,Civaka Chinthamani
Which literary work is associated with Buddhist philosophy?,Manimegalai,Naladiyar,Pathitrupathu,Natrinai,Manimegalai
Which Sangam poet is known for wisdom literature and ethics?,Avvaiyar,Kapilar,Nakkirar,Sattanar,Avvaiyar
Which literary work contains both music and devotion?,Paripadal,Purananuru,Natrinai,Pathitrupathu,Paripadal
Which Sangam text describes fair trade practices?,Pattinappaalai,Paripadal,Nedunalvadai,Natrinai,Pattinappaalai
Which literary work mentions that selling goods at higher prices was condemned?,Pattinappaalai,Naladiyar,Elathi,Paripadal,Pattinappaalai
Which literary category focuses on internal emotions?,Agam,Puram,Thinai,Koothu,Agam
Which literary category focuses on valor and warfare?,Puram,Agam,Iyal,Isai,Puram
