Question,Option A,Option B,Option C,Option D,Correct Answer
What is Evolution?,Study of fossils,Process through which humankind changes and develops into an advanced stage,Study of rocks,Study of trade,Process through which humankind changes and develops into an advanced stage
What is Anthropology?,Study of plants,Study of humans and evolutionary history,Study of coins,Study of climate,Study of humans and evolutionary history
The word Anthropology is derived from which language?,Latin,Greek,French,Arabic,Greek
What does Anthropos mean?,Animal,Man,History,Stone,Man
What does Logos mean?,Reason or Thought,River,Fire,Mountain,Reason or Thought
What are early human ancestors scientifically called?,Dinosaurs,Hominids,Mammoths,Nomads,Hominids
What is Archaeology?,Study of trade,Study of prehistoric human remains and materials,Study of economy,Study of religion,Study of prehistoric human remains and materials
What is Radio-Carbon Dating used for?,Predicting weather,Determining the age of fossils and artifacts,Finding gold,Studying rivers,Determining the age of fossils and artifacts
Which element is used in Radio-Carbon Dating?,Carbon-14,Oxygen,Hydrogen,Nitrogen,Carbon-14
Where were early human footprints discovered?,India,Tanzania,China,Egypt,Tanzania
The Laetoli footprints were found in which continent?,Asia,Europe,Africa,Australia,Africa
How old are the Laetoli footprints?,1 million years,2 million years,3.5 million years,5 million years,3.5 million years
Which stage is called Proto-human?,Homo sapiens,Australopithecus,Neanderthal,Homo erectus,Australopithecus
Which early human walked on two legs?,Australopithecus,Homo habilis,Neanderthal,Cro-Magnons,Australopithecus
What is the approximate period of Australopithecus?,4 to 2 million years ago,300000 years ago,50000 years ago,130000 years ago,4 to 2 million years ago
Which prehistoric humans had mixed ape and human characteristics?,Australopithecus,Homo sapiens,Neanderthal,Cro-Magnons,Australopithecus
Which species had reduced facial protrusion compared to earlier humans?,Homo habilis,Australopithecus,Neanderthal,Cro-Magnons,Homo habilis
Which human stage is called Handy Man?,Homo erectus,Homo habilis,Neanderthal,Cro-Magnons,Homo habilis
Who first made tools?,Homo habilis,Homo sapiens,Australopithecus,Neanderthal,Homo habilis
Which human stage is called Upright Man?,Homo erectus,Homo habilis,Cro-Magnons,Australopithecus,Homo erectus
Which early humans had knowledge of fire?,Neanderthal,Homo erectus,Homo habilis,Cro-Magnons,Homo erectus
Which human species buried their dead?,Australopithecus,Neanderthal,Homo habilis,Homo erectus,Neanderthal
Which species is known as Wise Man?,Homo erectus,Homo sapiens,Homo habilis,Cro-Magnons,Homo sapiens
Which species represents modern human beings?,Australopithecus,Homo sapiens,Neanderthal,Homo erectus,Homo sapiens
Which human group began settled life?,Homo erectus,Cro-Magnons,Homo habilis,Australopithecus,Cro-Magnons
Which tools were used by Cro-Magnons?,Iron tools,Bone tools,Microliths,Copper tools,Bone tools
Harpoons and spears made of bones were used by which group?,Cro-Magnons,Neanderthal,Homo erectus,Homo habilis,Cro-Magnons
From where did Homo sapiens migrate to different parts of the world?,Europe,East Africa,China,Australia,East Africa
Human physique and complexion adapted according to?,Language,Climate,Religion,Trade,Climate
Australopithecus lived mainly in which region?,Europe,East Africa,China,Australia,East Africa
Homo habilis is associated with which region?,South Africa,East Africa,France,China,South Africa
Homo erectus lived in which continents?,Africa and Asia,Europe and Australia,Africa and Europe,Asia and America,Africa and Asia
Neanderthals lived in which region?,Africa,Eurasia,Australia,South America,Eurasia
Which prehistoric humans mainly used crude stone tools?,Neanderthals,Cro-Magnons,Homo sapiens,Homo habilis,Neanderthals
Cro-Magnons are associated with which country?,India,France,China,Egypt,France
Which caves are associated with Cro-Magnons?,Ajanta Caves,Lascaux Caves,Ellora Caves,Bhimbetka,Lascaux Caves
Peking Man is associated with which country?,Japan,China,Korea,India,China
Heidelbergs are associated with which city?,Paris,London,Rome,Athens,London
What does Nomadic life mean?,Permanent settlement,Moving from place to place without fixed home,Urban life,Industrial life,Moving from place to place without fixed home
How many people usually lived in a nomadic group?,5 to 10,30 to 40,100 to 200,500 to 1000,30 to 40
Nomadic people were mainly?,Hunters and gatherers,Farmers,Merchants,Soldiers,Hunters and gatherers
Which animals were hunted by nomadic humans?,Bison and deer only,Rhino and elephant only,Bison rhino elephant and deer,Only birds,Bison rhino elephant and deer
What food items were gathered by early humans?,Honey tubers and fruits,Only rice,Only wheat,Only meat,Honey tubers and fruits
Where did nomadic people live?,Palaces,Caves and under trees,Brick houses,Temples,Caves and under trees
What did early humans use for clothing?,Silk and cotton,Bark leaves and animal skins,Wool only,Metal sheets,Bark leaves and animal skins
Why did humans become settled villagers?,To build temples,To protect crops after agriculture,To start industries,To make weapons,To protect crops after agriculture
Why were river valleys chosen for settlement?,Cold climate only,Fertile soil and water availability,Religious purpose only,Defense purpose only,Fertile soil and water availability
Which stone was mainly used for making tools?,Granite,Flint,Marble,Limestone,Flint
What is Chikki-mukki kal?,Flint,Iron,Copper,Granite,Flint
What is flaking?,Polishing metals,Sharpening one stone using another,Painting rocks,Melting iron,Sharpening one stone using another
How did humans first observe fire?,Volcano eruption,Lightning causing forest fires,River floods,Earthquakes,Lightning causing forest fires
Which invention protected humans from predators and gave light at night?,Wheel,Fire,Agriculture,Pottery,Fire
Cooking meat using fire made it?,Hard and dry,Soft and tasty,Poisonous,Cold,Soft and tasty
Which districts in Tamil Nadu still practice making fire without matches?,Nilgiris,Chennai,Madurai,Tirunelveli,Nilgiris
Which invention is considered the foremost scientific invention?,Wheel,Fire,Plough,Spear,Wheel
The wheel made which activity easier?,Hunting,Pot-making,Fishing,Weaving,Pot-making
Natural dyes for pottery were taken from?,Roots leaves and bark,Gold and silver,Chemicals only,Sea shells,Roots leaves and bark
What is group hunting?,Hunting alone,Surrounding the animal,Hunting birds only,Fishing,Surrounding the animal
What is pit hunting?,Hunting in rivers,Digging pits to trap animals,Using fire to hunt,Using nets,Digging pits to trap animals
Which animal helped humans invent the plough?,Horse,Oxen,Dog,Camel,Oxen
Why were clay vessels burnt in fire?,For decoration,To make them strong and waterproof,To change color,To reduce weight,To make them strong and waterproof
