Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which dynasty ruled southern Tamil Nadu during the Sangam Age?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
What was the inland capital of the Pandyas?,Madurai,Korkai,Uraiyur,Vanchi,Madurai
What was the coastal capital of the Pandyas?,Korkai,Puhar,Muziris,Tondi,Korkai
Which Pandyan port was famous for pearl fishing?,Korkai,Muziris,Puhar,Tondi,Korkai
Which gulf was famous for Pandyan pearl fisheries?,Gulf of Mannar,Bay of Bengal,Arabian Sea,Red Sea,Gulf of Mannar
What was the royal emblem of the Pandyas?,Twin Fish,Tiger,Bow and Arrow,Lion,Twin Fish
Which flower served as the Pandyan royal garland?,Neem flower,Palmyra flower,Athi flower,Lotus,Neem flower
Which title belonged to Pandya rulers?,Valuthi,Killi,Vanavan,Irumporai,Valuthi
Which title belonged to Pandya rulers?,Maran,Sembiyan,Senni,Kuttuvan,Maran
Which title identifies a Pandya king?,Sezhiyan,Killi,Vanavan,Irumporai,Sezhiyan
Which dynasty patronized the Tamil Sangams?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which city was called Sangam Valartha Nagaram?,Madurai,Kanchi,Puhar,Uraiyur,Madurai
Which Pandyan king won the Battle of Talayalanganam?,Nedunchezhiyan,Nanmaran,Nediyon,Mudukudumi,Nedunchezhiyan
Who were defeated by Nedunchezhiyan at Talayalanganam?,Cheras Cholas and Velirs,Pallavas and Cholas,Romans and Cheras,Ay and Velirs,Cheras Cholas and Velirs
Which title was earned by Nedunchezhiyan after victories?,Lord of Korkai,Vanavan,Sembiyan,Imayavaramban,Lord of Korkai
Which Pandyan ruler performed many Vedic sacrifices?,Mudukudumi Peruvazhuthi,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi Peruvazhuthi
Which Pandyan ruler issued coins to commemorate sacrifices?,Mudukudumi Peruvazhuthi,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi Peruvazhuthi
What was typically depicted on the obverse of Pandyan coins?,Elephant,Tiger,Fish,Bow and Arrow,Elephant
What was usually depicted on the reverse of Pandyan coins?,Fish,Elephant,Tiger,Horse,Fish
Which dynasty used Twin Fish as royal symbol?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which city was famous for Pandyan markets?,Madurai,Korkai,Puhar,Vanchi,Madurai
What was the day market in Madurai called?,Nalangadi,Allangadi,Sungam,Avai,Nalangadi
What was the evening market in Madurai called?,Allangadi,Nalangadi,Puhar,Mandram,Allangadi
Which Pandyan ruler is considered an early legendary king?,Nediyon,Karikalan,Senguttuvan,Kocengannan,Nediyon
Which Pandyan ruler is another legendary early ruler?,Nanmaran,Karikalan,Senguttuvan,Perunarkilli,Nanmaran
Which dynasty controlled pearl fisheries?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which sea coast enriched the Pandyas with pearls?,Gulf of Mannar,Arabian Sea,Red Sea,South China Sea,Gulf of Mannar
Which dynasty ruled from Madurai?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which dynasty used Neem flower garland?,Pandyas,Cheras,Cholas,Velirs,Pandyas
Which dynasty used Maran and Valuthi titles?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler was hailed as greatest warrior?,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi,Nedunchezhiyan
Which literary work gives information about Madurai and Pandyas?,Maduraikkanji,Pattinappaalai,Pathitrupathu,Paripadal,Maduraikkanji
Which city was famous for pearl trade?,Korkai,Puhar,Uraiyur,Vanchi,Korkai
Which dynasty's coins carried fish symbol?,Pandyas,Cheras,Cholas,Ay,Pandyas
Which Pandyan port attracted foreign traders?,Korkai,Puhar,Uraiyur,Kanchi,Korkai
Which dynasty patronized Tamil literature in Madurai?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler defeated confederate enemies at Talayalanganam?,Nedunchezhiyan,Mudukudumi,Nediyon,Nanmaran,Nedunchezhiyan
Which dynasty ruled the southern tip of Tamilakam?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which dynasty was associated with pearl hunting?,Pandyas,Cheras,Cholas,Velirs,Pandyas
Which Pandyan ruler is associated with Vedic yajnas?,Mudukudumi Peruvazhuthi,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi Peruvazhuthi
Which Pandyan ruler is praised in Maduraikkanji?,Nedunchezhiyan,Karikalan,Senguttuvan,Kocengannan,Nedunchezhiyan
Which dynasty maintained close maritime trade through Korkai?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which royal symbol identifies the Pandyas in archaeology?,Twin Fish,Tiger,Bow and Arrow,Elephant,Twin Fish
Which dynasty ruled areas around the Vaigai river?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler became famous through the Talayalanganam battle?,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi,Nedunchezhiyan
Which title was unique to the Pandyas in TNPSC matching questions?,Sezhiyan,Killi,Irumporai,Vanavan,Sezhiyan
Which Pandyan capital became a center of Tamil learning?,Madurai,Uraiyur,Kanchi,Vanchi,Madurai
Which Pandyan port was globally known for pearls?,Korkai,Puhar,Muziris,Tondi,Korkai
Which dynasty had strong connections with pearl fisheries and marine trade?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler is remembered for military victories over neighboring dynasties?,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi,Nedunchezhiyan
Which dynasty used fish symbols in coinage and flags?,Pandyas,Cheras,Cholas,Ay,Pandyas
