Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer

Natural National Symbols: In which year was the Banyan Tree adopted as a National Tree of India?,1947,1950,1963,1973,1950
Science & Wildlife: Known for its aerial roots and medicinal values?,Coconut Tree,Banyan Tree,Mango Tree,Sandalwood Tree,Banyan Tree
Geography: The famous banyan tree in the Indian Botanical Garden is located at which place?,Delhi,Mumbai,Howrah (Calcutta),Hyderabad,Howrah (Calcutta)
Geography: The famous banyan tree of the Theosophical Society is located in which city?,Madurai,Adyar (Chennai),Coimbatore,Tiruchirappalli,Adyar (Chennai)

Natural National Symbols: In which year was the Lotus adopted as a National Flower of India?,1947,1950,1963,1973,1950
Science & Wildlife: Which flower blooms beautifully even in muddy water?,Rose,Jasmine,Lotus,Lily,Lotus

Natural National Symbols: In which year was the Mango adopted as a National Fruit of India?,1947,1950,1963,1973,1950
History & Culture: Which mango variety was cultivated during the Mughal period for royalty?,Neelam,Imam Pasand,Banganapalli,Alphonso,Imam Pasand
Science & Wildlife: Mango is a rich source of which vitamins?,Vitamin B & E,Vitamin A; C & D,Vitamin K only,Vitamin B12 only,Vitamin A; C & D

Natural National Symbols: In which year was the Peacock adopted as the National Bird of India?,1950,1963,1973,2008,1963
Science & Wildlife: Which bird is native to Asia and known for its stately appearance?,Sparrow,Peacock,Crow,Pigeon,Peacock
Geography: Viralimalai Peacock Sanctuary is located in which district of Tamil Nadu?,Madurai,Pudukottai,Erode,Salem,Pudukottai
History & Culture: Which Sangam age chieftain covered a peacock with his shawl?,Pari,Ori,Began,Adhiyaman,Began
History & Culture: Began is remembered as one among the ______ of ancient Tamil land.,Three crowned kings,Five warriors,Seven generous patrons,Eight poets,Seven generous patrons

Natural National Symbols: In which year was the Tiger adopted as the National Animal of India?,1950,1963,1973,2010,1973
Science & Wildlife: India possesses nearly ______ percentage of the world’s tiger population?,40%,50%,60%,70%,70%

Natural National Symbols: In which year was the River Ganges adopted as the National River of India?,1950,1963,1973,2008,2008
Geography: What is the total length of the River Ganges?,2000 km,2525 km,2900 km,3200 km,2525 km
Geography: Which river is longer than the Ganges but does not flow entirely within India?,Krishna,Narmada,Brahmaputra,Mahanadi,Brahmaputra
Geography: Which river has a total length of 2900 km?,Yamuna,Ganges,Brahmaputra,Godavari,Brahmaputra

Natural National Symbols: In which year was the River Dolphin adopted as the National Aquatic Animal of India?,1950,1963,1973,2010,2010
Science & Wildlife: River Dolphins use ______ to locate prey?,Radio waves,Infrared waves,Ultrasound waves,Gamma rays,Ultrasound waves
Science & Wildlife: Which aquatic animal is considered an indicator of river ecosystem health?,Crocodile,River Dolphin,Seal,Otter,River Dolphin
Science & Wildlife: The snout of the River Dolphin resembles which reptile?,Monitor Lizard,Gharial crocodile,Python,Viper,Gharial crocodile
Science & Wildlife: River Dolphins are generally described as ______?,Poisonous,Blind,Flying mammals,Cold blooded,Blind

Natural National Symbols: In which year was the Elephant adopted as the National Heritage Animal of India?,1950,1963,1973,2010,2010
Science & Wildlife: Which animal plays a major role in maintaining forest ecosystems?,Leopard,Elephant,Bison,Deer,Elephant

Natural National Symbols: In which year was Lactobacillus delbrueckii adopted as the National Microorganism?,2008,2010,2012,2015,2012
Science & Wildlife: Which food item is prepared using Lactobacillus delbrueckii?,Bread,Curd,Cheese,Butter,Curd
Science & Wildlife: Lactobacillus is commonly referred to as ______?,Disease causing bacteria,Friendly bacteria,Marine bacteria,Parasitic bacteria,Friendly bacteria

Science & Wildlife: Which reptile is scientifically known as Ophiophagus hannah?,Python,King Cobra,Viper,Rat Snake,King Cobra
Science & Wildlife: Which is the world’s longest venomous snake?,Python,Cobra,King Cobra,Viper,King Cobra
Science & Wildlife: What is the average length of the King Cobra mentioned in the lesson?,10 feet,12 feet,18 feet,20 feet,18 feet
Science & Wildlife: Which reptile is known for building its own nest?,Python,Viper,King Cobra,Crocodile,King Cobra

Tamil Nadu State Symbols: Which animal is the State Animal of Tamil Nadu?,Elephant,Nilgiri Tahr,Tiger,Blackbuck,Nilgiri Tahr
Tamil Nadu State Symbols: Which bird is the State Bird of Tamil Nadu?,Peacock,Emerald Dove,Sparrow,Parrot,Emerald Dove
Tamil Nadu State Symbols: Which flower is the State Flower of Tamil Nadu?,Lotus,Rose,Gloriosa Superba,Jasmine,Gloriosa Superba
Tamil Nadu State Symbols: Which tree is the State Tree of Tamil Nadu?,Neem Tree,Palmyrah Tree,Banyan Tree,Teak Tree,Palmyrah Tree

National Flag: Which colour in the Indian National Flag represents valour and sacrifice?,Green,White,Saffron,Blue,Saffron
National Flag: Which colour in the Indian National Flag represents fertility and prosperity?,White,Saffron,Green,Blue,Green
National Flag: Which colour in the Indian National Flag represents honesty peace and purity?,Blue,White,Green,Saffron,White
National Flag: What does the Ashoka Chakra in the National Flag represent?,War and courage,Truth and peace,Prosperity and wealth,Unity and diversity,Truth and peace
National Flag: How many spokes are present in the Ashoka Chakra?,20,22,24,26,24
National Flag: Flag What is the ratio of length and width of the Indian National Flag?,2:3,3:2,4:3,5:2,3:2
National Flag: Who designed the Indian National Flag?,Rabindranath Tagore,Pingali Venkayya,Bankim Chandra Chatterjee,D Udhayakumar,Pingali Venkayya
National Flag: Pingali Venkayya belonged to which state?,Tamil Nadu,Kerala,Andhra Pradesh,Karnataka,Andhra Pradesh
National Flag: In which district of Tamil Nadu was the first Indian National Flag woven?,Madurai,Vellore (Gudiyatham),Erode,Salem,Vellore (Gudiyatham)
National Flag: Who hoisted the National Flag at Red Fort on 15 August 1947?,Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,Dr Rajendra Prasad,Jawaharlal Nehru
National Flag: The original National Flag hoisted on 15 August 1947 is preserved in which museum?,Egmore Museum,Government Museum Madurai,Fort St George Museum,Salar Jung Museum,Fort St George Museum

National Emblem: Which monument was chosen as the National Emblem of India?,Qutub Minar,Sarnath Pillar,India Gate,Gateway of India,Sarnath Pillar
National Emblem: In which year was the National Emblem adopted?,1947,26th Jan 1950,1952,1963,26th Jan 1950
National Emblem: How many lions are present in the National Emblem?,2,3,4,5,4
National Emblem: What is inscribed below the National Emblem?,Jai Hind,Satyameva Jayate,Vande Mataram,Inquilab Zindabad,Satyameva Jayate
National Emblem: What is the meaning of Satyameva Jayate?,Unity is strength,Truth alone triumphs,Victory to India,Long live democracy,Truth alone triumphs
National Emblem: Which animal in the National Emblem symbolises energy?,Horse,Bull,Elephant,Lion,Elephant
National Emblem: Which animal in the National Emblem symbolises speed?,Elephant,Horse,Bull,Tiger,Horse
National Emblem: Which animal in the National Emblem symbolises hardwork?,Bull,Horse,Elephant,Lion,Bull
National Emblem: Which animal in the National Emblem symbolises majesty?,Horse,Bull,Lion,Elephant,Lion
National Emblem: Where is the original Lion Capital of Ashoka preserved?,National Museum Delhi,Sarnath Museum,Indian Museum Kolkata,Chennai Museum,Sarnath Museum
National Emblem: The Wheel of Righteousness is placed between which figures in the National Emblem?,Lion & Tiger,Horse & Bull,Elephant & Lion,Bull & Elephant,Horse & Bull

National Anthem: What is the National Anthem of India?,Vande Mataram,Sare Jahan Se Achha,Jana Gana Mana,Ae Mere Watan Ke Logon,Jana Gana Mana
National Anthem: Who wrote the National Anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Subramania Bharathi,Sarojini Naidu,Rabindranath Tagore
National Anthem: In which language was Jana Gana Mana originally written?,Hindi,Bengali,Sanskrit,Urdu,Bengali
National Anthem: On which date was Jana Gana Mana adopted by the Constituent Assembly?,15th Aug 1947,24th Jan 1950,26th Jan 1950,2nd Oct 1950,24th Jan 1950
National Anthem: In which city was Jana Gana Mana first sung during the Congress session?,Delhi,Mumbai,Chennai,Kolkata,Kolkata
National Anthem: In which year was Jana Gana Mana first sung in the Congress session?,1905,27th Dec 1911,1920,1930,27th Dec 1911
National Anthem: What is the prescribed duration for singing the National Anthem?,42 seconds,52 seconds,60 seconds,72 seconds,52 seconds
National Anthem: Which of following symbolizes our National Anthem ‘Jana Gana Mana’?,Prosperity and integrity,Sovereignty and Security,Sovereignty and integrity,Secularistic and Socialistic,Sovereignty and integrity

National Song: What is the National Song of India?,Jana Gana Mana,Vande Mataram,Sare Jahan Se Achha,Tamil Thai Vazhthu,Vande Mataram
National Song: Who composed Vande Mataram?,Rabindranath Tagore,Bankim Chandra Chatterjee,Sarojini Naidu,Subramania Bharathi,Bankim Chandra Chatterjee
National Song: Vande Mataram was part of which novel?,Gitanjali,Anand Math,Discovery of India,Durgeshnandini,Anand Math
National Song: Who declared that Vande Mataram would have equal status with Jana Gana Mana?,Jawaharlal Nehru,Dr Rajendra Prasad,B R Ambedkar,Sardar Patel,Dr Rajendra Prasad

National Pledge: Who wrote the National Pledge of India?,Rabindranath Tagore,Pydimarri Venkata Subba Rao,Bankim Chandra Chatterjee,Sarvepalli Radhakrishnan,Pydimarri Venkata Subba Rao
National Pledge: In which language was the National Pledge originally written?,Hindi,Tamil,Telugu,Bengali,Telugu

National Currency: Who introduced the currency called Rupiya in the 16th century?,Akbar,Shershah Sur,Babur,Alauddin Khilji,Shershah Sur
National Currency: Who designed the Indian Rupee symbol?,Pingali Venkayya,D Udhayakumar,R K Laxman,Nandalal Bose,D Udhayakumar
National Currency: In which year was the Indian Rupee symbol adopted?,2005,2008,2010,2012,2010
National Currency: D Udhayakumar belongs to which state?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,Tamil Nadu

National Calendar: Which emperor started a new calendar in 78 CE?,Ashoka,Harsha,Kanishka,Chandragupta Maurya,Kanishka
National Calendar: Who headed the Calendar Reformation Committee (22nd Mar 1957)?,C V Raman,Homi Bhabha,Meghnad Saha,Vikram Sarabhai,Meghnad Saha
National Calendar: In which year was the National Calendar accepted?,1947,1950,1957,1962,1957
National Calendar: On which date does the National Calendar usually begin?,1 January,14 April,22 March,15 August,22 March

National Holidays: Which day is celebrated as Independence Day in India?,26 January,15 August,2 October,14 November,15 August
National Holidays: Which leader unfurls the National Flag on Independence Day at Red Fort?,President,Vice President,Prime Minister,Chief Justice,Prime Minister
National Holidays: Which Carnatic singer sang Aaduvome Pallu Paduvome on AIR during Independence celebrations?,M S Subbulakshmi,D K Pattammal,T M Soundararajan,P Susheela,D K Pattammal
National Holidays: On which date was India declared a Republic?,15 Aug 1947,24 Jan 1950,26 Jan 1950,2 Oct 1950,26 Jan 1950
National Holidays: Who unfurls the National Flag on Republic Day?,Prime Minister,President,Chief Minister,Governor,President
National Holidays: Republic Day celebrations are held on which path in New Delhi?,Rajpath,Kartavya Path,Vijay Path,Janpath,Kartavya Path
National Holidays: What is the name of the ceremony conducted on 29 January marking the end of Republic Day celebrations?,Guard of Honour,Victory Parade,Beating Retreat,March Past,Beating Retreat
National Holidays: Which forces perform the Beating Retreat ceremony?,Army only,Navy only,Army Navy & Air Force,Air Force only,Army Navy & Air Force
National Holidays: Gandhi Jayanthi is celebrated on which date?,14 November,15 August,2 October,26 January,2 October
National Holidays: In which year did the United Nations declare October 2 as International Day of Non Violence?,2005,2007,2010,2012,2007
National Holidays: Rashtrapati Bhavan is illuminated as part of which celebration?,Independence Day,Republic Day,Gandhi Jayanthi,Children's Day,Republic Day

Freedom Fighters: Tirupur Kumaran was born in which place?,Karur,Chennimalai (Erode),Tiruppur,Salem,Chennimalai (Erode)
Freedom Fighters: Tirupur Kumaran is popularly known by which title?,Kappalottiya Tamizhan,Kodi Kaatha Kumaran,Desiya Kavignar,Iron Man,Kodi Kaatha Kumaran
Freedom Fighters: In which year did Tirupur Kumaran sacrifice his life during the freedom struggle?,1920,1930,1932,1942,1932
Freedom Fighters: Which leader's arrest led to protests in which Tirupur Kumaran participated?,Subhas Chandra Bose,Mahatma Gandhi,Bal Gangadhar Tilak,Lala Lajpat Rai,Mahatma Gandhi
